Extension,Description,Install
Peacock,Subtly change the workspace color of your workspace. Ideal when you have multiple VS Code instances and you want to quickly identify which is which.,https://johnpapa.gallery.vsassets.io/_apis/public/gallery/publisher/johnpapa/extension/vscode-peacock/4.2.3/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
GitLab Snippets,Use gilab snippets easily,https://jyee721.gallery.vsassets.io/_apis/public/gallery/publisher/jyee721/extension/gitlab-snippets/0.5.1/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Python Indent,Correct Python indentation,https://kevinrose.gallery.vsassets.io/_apis/public/gallery/publisher/KevinRose/extension/vsc-python-indent/1.18.1/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
MagicPython,Syntax highlighter for cutting edge Python.,https://magicstack.gallery.vsassets.io/_apis/public/gallery/publisher/magicstack/extension/MagicPython/1.1.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Rainbow CSV,"Highlight CSV and TSV files, Run SQL-like queries",https://mechatroner.gallery.vsassets.io/_apis/public/gallery/publisher/mechatroner/extension/rainbow-csv/3.13.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
JSON,Beautify JSON,https://meezilla.gallery.vsassets.io/_apis/public/gallery/publisher/Meezilla/extension/json/0.1.2/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Git Graph,"View a Git Graph of your repository, and perform Git actions from the graph.",https://mhutchie.gallery.vsassets.io/_apis/public/gallery/publisher/mhutchie/extension/git-graph/1.30.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Azure Pipelines,"Syntax highlighting, IntelliSense, and more for Azure Pipelines YAML",https://ms-azure-devops.gallery.vsassets.io/_apis/public/gallery/publisher/ms-azure-devops/extension/azure-pipelines/1.247.2/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Azure Developer CLI,"Makes it easy to run, provision, and deploy Azure applications using the Azure Developer CLI",https://ms-azuretools.gallery.vsassets.io/_apis/public/gallery/publisher/ms-azuretools/extension/azure-dev/0.8.4/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Azure App Service,An Azure App Service management extension for Visual Studio Code.,https://ms-azuretools.gallery.vsassets.io/_apis/public/gallery/publisher/ms-azuretools/extension/vscode-azureappservice/0.25.4/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Azure Container Apps,An Azure Container Apps extension for Visual Studio Code.,https://ms-azuretools.gallery.vsassets.io/_apis/public/gallery/publisher/ms-azuretools/extension/vscode-azurecontainerapps/0.7.1/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Azure Functions,An Azure Functions extension for Visual Studio Code.,https://ms-azuretools.gallery.vsassets.io/_apis/public/gallery/publisher/ms-azuretools/extension/vscode-azurefunctions/1.16.1/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
